titulo,folio,precio,condicion,envio,opiniones,vendedor_url,tipo_vendedor,ventas_vendedor
Huawei P30 Lite New Edition 256 GB midnight black 6 GB RAM,,855,Nuevo | +100 vendidos,a todo el país,4.7,,MercadoLíder Gold,+5mil
Samsung Galaxy A03 32 GB negro 3 GB RAM,,491,Nuevo | +100 vendidos,a todo el país,4.4,,MercadoLíder Gold,+5mil
iPhone 11 Pro Max 64 GB gris espacial,,2.771,Nuevo | +5 vendidos,a todo el país,4.3,,,+500
iPhone 14 Pro (128gb),#618856001,,,,4.8,,MercadoLíder Gold,+5mil
Samsung Galaxy S10+ 128 GB verde prisma 8 GB RAM,,1.599,Nuevo | +50 vendidos,a todo el país,4.5,,MercadoLíder Gold,+5mil
iPhone 8 64 GB gris espacial,,1.599,Nuevo | +50 vendidos,a todo el país,,,MercadoLíder Gold,+5mil
Realme 9i Dual SIM 128 GB prism black 6 GB RAM,,999,Nuevo | +50 vendidos,a todo el país,4.6,,MercadoLíder Gold,+5mil
Xiaomi Redmi Note 11S 5G Dual SIM 128 GB midnight black 4 GB RAM,,1.099,Nuevo | +25 vendidos,a todo el país,,,MercadoLíder Gold,+5mil
Celular Xiaomi Redmi 12 Dual Sim 128gb 4ram Azul,,649,Nuevo,a todo el país,,,MercadoLíder Gold,+500
Apple iPhone 13 128gb Verde Alpino / Tienda,#622738152,,,,5.0,,MercadoLíder Gold,+5mil
iPhone 11 Pro 256 GB gris espacial,,2.660,Nuevo | +25 vendidos,a todo el país,,,,+500
Moto G52 128 GB azul 6 GB RAM,,889,Nuevo | +5 vendidos,a todo el país,4.1,,MercadoLíder Gold,+5mil
Samsung Galaxy A33 5G 5G Dual SIM 128 GB awesome blue 6 GB RAM,,1.236,Nuevo | +25 vendidos,a todo el país,4.7,,MercadoLíder Gold,+5mil
Xiaomi Redmi Note 11 Pro Dual SIM 128 GB blanco polar 6 GB RAM,,987,Nuevo | +100 vendidos,a todo el país,4.7,,MercadoLíder Gold,+100
Samsung Galaxy S22 (Exynos) 5G Dual SIM 256 GB phantom black 8 GB RAM,,3.449,Nuevo | +5 vendidos,a todo el país,,,,+100
Samsung Galaxy A14 (MediaTek) 5G Dual SIM 128 GB black 6 GB RAM,,999,Nuevo | 2 vendidos,a todo el país,4.0,,MercadoLíder Gold,+5mil
Honor Magic 5 Lite 5g 256gb 8gb Ram Dual Sim Libre / Tienda,#642896554,,,,,,MercadoLíder Gold,+5mil
Tecno Camon 19 Pro 5G Dual SIM 128 GB negro eco 8 GB RAM,,1.099,Nuevo | 2 vendidos,a todo el país,,,MercadoLíder Gold,+5mil
Honor X8a Dual SIM 128 GB plata estelar 6 GB RAM,,849,Nuevo | 1 vendido,a todo el país,4.6,,MercadoLíder Gold,+5mil
Doogee V30 Dual Sim 256gb Cámara Triple 108mp Visión Noche,#632472406,,,,4.3,,MercadoLíder Gold,+50
CAT S62 Pro Dual SIM 128 GB negro 6 GB RAM,,3.299,Nuevo | 2 vendidos,a todo el país,,,MercadoLíder Gold,+100
Xiaomi Pocophone Poco M4 Pro Dual SIM 128 GB cool blue 6 GB RAM,,899,Nuevo | +100 vendidos,a todo el país,4.8,,MercadoLíder Gold,+5mil
Moto G53 5G (50 Mpx/2 Mpx) 128 GB ink blue 8 GB RAM,,899,Nuevo | 4 vendidos,a todo el país,,,MercadoLíder Gold,+5mil
Motorola G51 5G 128 GB azul 4 GB RAM,,799,Nuevo | +25 vendidos,a todo el país,,,MercadoLíder Gold,+5mil
Samsung Galaxy A23 5G 5G 128 GB awesome black 6 GB RAM,,999,Nuevo | 1 vendido,a todo el país,4.0,,MercadoLíder Gold,+5mil
